# 役割語テンプレート。話者の一人称・語尾を 性別(sex)・年齢(race 由来)・基底口調(cell) で引く。
# 翻訳プロンプトの口調指示へ、基底口調の性質文に重ねて差し込む（注入時）。
#
# 列（タブ区切り、5 列）: race	sex	cell	一人称	言い回しの傾向
#   race : child（race EditorID が *Child）/ elder（ElderRace）/ adult（その他）/ *（任意）
#   sex  : female / male / *（任意。性別が取れない話者は * 行に当たる）
#   cell : 基底口調セル名（冷然・見下し 等）/ *（全セル）
#   一人称        : 空なら基底口調に委ねる
#   言い回しの傾向 : 空なら指定なし
# 照合は最も具体的な行（ワイルドカード * が少ない行）を採る。
#
# 一人称は漢字で書く（私・俺・僕）。Skyrim の公式日本語既訳ではひらがなの一人称がほとんど現れない。
# 値は現実的にする。フィクションの老人語（わし・〜じゃ・〜のう）など、現実にそう話す人がいない
# 戯画的な語尾は使わない。一人称は性別・年齢で決め、語尾は言い回しの傾向で穏当に示す。
#
# race	sex	cell	一人称	言い回しの傾向
child	male	*	僕	幼い子供らしく、平易でくだけた言い方にする。難しい敬語や硬い言い回しは避ける。
child	female	*	私	幼い子供らしく、平易でくだけた言い方にする。難しい敬語や硬い言い回しは避ける。
child	*	*		幼い子供らしく、平易でくだけた言い方にする。難しい敬語や硬い言い回しは避ける。
elder	female	*	私	年配の女性らしい、落ち着いた言い回しにする。
elder	male	*		年配の男性らしい、落ち着いて少し古風な言い回しにする。
elder	*	*		年配らしい、落ち着いた言い回しにする。
adult	female	*	私	女性らしい、やわらかな言い回しを基調にする。
# 成人男性は一人称だけをセル別に決め、言い回しは基底口調の性質文へ委ねる（同趣旨の指示を 2 行並べない）。
# 対人段階が尊大の 3 セルと、感情段階が激情で対人段階が中立の 1 セル（率直・興奮）を「俺」にする。
adult	male	冷然・見下し	俺	
adult	male	ぞんざい	俺	
adult	male	居丈高・罵倒	俺	
adult	male	率直・興奮	俺	
adult	male	*	私	
# 性別を取れない話者（汎用台詞、PC 性別が未設定の PC 発話）の既定。
adult	*	*	私	
